category,product_count,avg_price,min_price,max_price,special_pct,avg_discount_pct
Meat & Seafood,129,15.26,1.0,39.6,14.0,20.0
Health & Wellness,131,7.78,1.0,36.0,16.0,23.6
Drinks,127,7.19,0.8,39.5,22.0,39.3
Frozen,127,6.67,1.0,14.0,9.4,31.1
Household,131,6.62,0.8,26.0,13.0,40.8
Dairy & Eggs,128,4.79,0.8,25.0,6.3,20.4
Bakery,123,4.64,2.2,9.9,13.0,23.5
Snacks,127,4.01,0.8,9.0,22.0,35.2
Fruit & Veg,123,3.75,0.14,33.0,3.3,18.9
Pantry,129,2.84,0.55,12.5,14.0,34.2
