name,brand,category,price,q1,q3,iqr
Weet-Bix Breakfast Cereal,Weet-Bix,Pantry,7.0,1.7,3.3,1.5999999999999999
Vegemite Spread,Vegemite,Pantry,6.0,1.7,3.3,1.5999999999999999
Cadbury Baking Chips Milk Chocolate,Cadbury,Pantry,8.4,1.7,3.3,1.5999999999999999
Cholula Salsa Verde,Cholula,Pantry,7.25,1.7,3.3,1.5999999999999999
Woolworths 100% Canadian Maple Syrup,Woolworths,Pantry,6.0,1.7,3.3,1.5999999999999999
Nutella Hazelnut Chocolate Spread Spread,Nutella,Pantry,12.5,1.7,3.3,1.5999999999999999
Bega Peanut Butter Smooth,Bega,Pantry,6.9,1.7,3.3,1.5999999999999999
Twinings Pure Green Tea Bags Bags,Twinings,Pantry,6.75,1.7,3.3,1.5999999999999999
Noshu Protein Plus Keto Pro Bars Crunchy Cookie Butter,Noshu,Pantry,5.9,1.7,3.3,1.5999999999999999
Vegemite Spread,Vegemite,Pantry,9.9,1.7,3.3,1.5999999999999999
Kellogg's Nutri Grain Protein Breakfast Cereal,Kellogg's,Pantry,7.0,1.7,3.3,1.5999999999999999
