category,own_mean,national_mean,price_gap,gap_pct,t_stat,p_value,significant,cohens_d,effect_size
Bakery,3.82,5.25,1.42,37.3,-5.77,0.0,True,1.07,large
Dairy & Eggs,4.51,4.93,0.41,9.1,-0.621,0.537,False,0.124,small
Drinks,3.17,8.28,5.11,161.4,-5.307,0.0,True,0.852,large
Frozen,5.86,7.06,1.2,20.4,-2.181,0.0318,True,0.402,small
Fruit & Veg,3.81,3.43,-0.38,-9.8,0.556,0.581,False,-0.113,small
Health & Wellness,6.88,8.13,1.25,18.2,-1.129,0.2614,False,0.195,small
Meat & Seafood,13.72,17.7,3.98,29.0,-2.76,0.0068,True,0.495,small
Pantry,1.84,3.36,1.52,82.3,-5.602,0.0,True,0.914,large
Snacks,1.92,4.42,2.51,130.5,-7.857,0.0,True,1.517,large
