brand,category,price,cat_avg,premium_pct
Freedom,Health & Wellness,6.0,7.783969465648855,-22.918505442777292
FreshLife,Health & Wellness,7.0,7.783969465648855,-10.071589683240173
Frisp,Health & Wellness,6.0,7.783969465648855,-22.918505442777292
Fun Mix,Snacks,8.9,4.00984251968504,121.95385370643102
Funday,Health & Wellness,3.5,7.783969465648855,-55.03579484162009
Gatorade,Drinks,5.85,7.194803149606299,-18.69131262722438
Gevity Rx,Health & Wellness,15.15,7.783969465648855,94.63077375698734
Glad,Household,5.441666666666666,6.624045801526718,-17.84980313070201
Glicks,Bakery,3.9,4.643089430894309,-16.004202416389436
Golden,Bakery,4.228571428571429,4.643089430894309,-8.927633389198796
Golden Circle,Drinks,5.5,7.194803149606299,-23.555934948672487
Golden Days,Health & Wellness,4.333333333333333,7.783969465648855,-44.33003170867249
Golden Palm,Health & Wellness,11.2,7.783969465648855,43.885456506815714
Greenseas,Pantry,1.35,2.83953488372093,-52.45700245700245
Grenade,Health & Wellness,5.0,7.783969465648855,-35.765421202314414
Handee,Household,5.2625,6.624045801526718,-20.554595217516564
Hans,Meat & Seafood,14.25,15.261705426356588,-6.6290456937361535
Harpic,Household,7.0,6.624045801526718,5.67559781042927
Healtheries,Health & Wellness,4.5,7.783969465648855,-42.18887908208297
Helga's,Bakery,4.9399999999999995,4.643089430894309,6.3946769392400435
Help@Hand,Health & Wellness,3.0,7.783969465648855,-61.459252721388644
Herbert Adams,Frozen,8.0,6.665748031496062,20.01653771188944
Hercules,Household,2.45,6.624045801526718,-63.01354076634975
Hillview,Dairy & Eggs,9.3,4.79140625,94.09750529920106
Indomie,Pantry,3.95,2.83953488372093,39.10728910728912
Ingham's,Frozen,11.125,6.665748031496062,66.89799775559626
Ingham's,Meat & Seafood,20.875,15.261705426356588,36.780257624088264
Jazz,Fruit & Veg,1.31,3.7485365853658537,-65.05302882425661
Just Caught,Frozen,11.6,6.665748031496062,74.0239796822397
Kanzi,Fruit & Veg,3.3733333333333335,3.7485365853658537,-10.009326132691342
Kellogg's,Pantry,7.0,2.83953488372093,146.51924651924654
Kez's Kitchen,Health & Wellness,6.0,7.783969465648855,-22.918505442777292
Kinder,Snacks,1.5,4.00984251968504,-62.5920471281296
Kirks,Drinks,5.550000000000001,7.194803149606299,-22.86098890275132
KitKat,Snacks,3.0,4.00984251968504,-25.184094256259215
Kleenex,Household,5.8999999999999995,6.624045801526718,-10.930567559781052
Koja,Health & Wellness,6.833333333333333,7.783969465648855,-12.212742309829697
La Gina,Pantry,1.95,2.83953488372093,-31.32678132678133
La Mesita,Pantry,1.25,2.83953488372093,-55.978705978705975
Leggo's,Pantry,2.3,2.83953488372093,-19.000819000819007
Liddells,Drinks,3.2,7.194803149606299,-55.523453061045814
Lotus,Snacks,2.65,4.00984251968504,-33.91261659302897
Lurpak,Dairy & Eggs,7.75,4.79140625,61.747921082667546
Luv-A-Duck,Meat & Seafood,10.666666666666666,15.261705426356588,-30.108291513439934
Lyher,Health & Wellness,20.0,7.783969465648855,156.93831519074234
Macro,Dairy & Eggs,2.65,4.79140625,-44.69264633947497
Macro,Frozen,7.866666666666667,6.665748031496062,18.016262083357958
Macro,Fruit & Veg,1.24,3.7485365853658537,-66.92042423059405
Macro,Health & Wellness,5.966666666666667,7.783969465648855,-23.346735968095196
Macro,Meat & Seafood,14.83111111111111,15.261705426356588,-2.8214036584787765
Macro,Pantry,1.9583333333333333,2.83953488372093,-31.033306033306037
Macro,Snacks,3.7,4.00984251968504,-7.727049582719692
Macy and Tailor,Snacks,2.0,4.00984251968504,-50.12272950417282
Mainland,Dairy & Eggs,10.6,4.79140625,121.22941464210012
Mandarin,Fruit & Veg,0.77,3.7485365853658537,-79.45865053028824
Marathon,Frozen,13.0,6.665748031496062,95.02687378182034
Market Value,Meat & Seafood,11.0,15.261705426356588,-27.924175623234927
Mars,Snacks,6.166666666666667,4.00984251968504,53.78825069546718
MasterFoods,Pantry,3.325,2.83953488372093,17.096642096642103
Masterfoods,Pantry,4.875,2.83953488372093,71.68304668304668
McCain,Frozen,6.296296296296297,6.665748031496062,-5.542539763790709
Menissez,Bakery,2.9,4.643089430894309,-37.541586412187016
Mighty Soft,Bakery,4.5,4.643089430894309,-3.0817720189108826
Milky Way,Snacks,7.5,4.00984251968504,87.03976435935196
Milo,Drinks,11.125,7.194803149606299,54.62549521745792
Mini-Roma,Fruit & Veg,3.0,3.7485365853658537,-19.968768299824323
Mission,Bakery,4.9375,4.643089430894309,6.34083347925056
Moccona,Drinks,14.5,7.194803149606299,101.53435331713617
Moira Mac's,Meat & Seafood,30.15,15.261705426356588,97.55328226904244
Monster,Drinks,6.6,7.194803149606299,-8.267121938406992
Morning Fresh,Household,9.0,6.624045801526718,35.868625756266205
Mother Earth,Snacks,3.8,4.00984251968504,-5.233186057928341
Mount Franklin,Drinks,18.478571428571428,7.194803149606299,156.8322029711484
Mr Kipling,Bakery,6.2,4.643089430894309,33.53178077394501
Mt Ossa,Drinks,4.75,7.194803149606299,-33.98012563748988
Multix,Household,7.0,6.624045801526718,5.67559781042927
Musashi,Health & Wellness,5.1,7.783969465648855,-34.4807296263607
Muscle Nation,Dairy & Eggs,3.0,4.79140625,-37.387901516386755
Muscle Nation,Health & Wellness,13.825000000000001,7.783969465648855,77.60861037560068
Mutti,Pantry,2.3,2.83953488372093,-19.000819000819007
My Eco Bag,Household,4.7,6.624045801526718,-29.046384327283203
Mylanta,Health & Wellness,8.5,7.783969465648855,9.198783956065505
Natpat,Household,14.5,6.624045801526718,118.89945260731778
Nestle,Dairy & Eggs,2.05,4.79140625,-57.21506603619761
Nestle,Drinks,4.0,7.194803149606299,-44.40431632630727
Nestle,Pantry,4.0,2.83953488372093,40.86814086814087
Nicaway,Health & Wellness,27.0,7.783969465648855,246.8667255075022
Nice & Natural,Pantry,5.6000000000000005,2.83953488372093,97.21539721539723
Nice & Natural,Snacks,8.0,4.00984251968504,99.50908198330876
Noshu,Pantry,5.9,2.83953488372093,107.78050778050779
Nu Pure,Drinks,11.0,7.194803149606299,52.88813010265502
Nutella,Pantry,12.5,2.83953488372093,340.2129402129402
Nutella,Snacks,1.4,4.00984251968504,-65.08591065292096
Nuttelex,Drinks,1.65,7.194803149606299,-77.06678048460174
Old El Paso,Pantry,2.7,2.83953488372093,-4.914004914004908
Oreo,Snacks,5.0,4.00984251968504,24.69317623956798
Pampas,Frozen,5.5,6.665748031496062,-17.488630323076006
Panadol,Health & Wellness,5.7,7.783969465648855,-26.772580170638427
Parker's,Snacks,4.0,4.00984251968504,-0.2454590083456169
Pascall,Snacks,5.0,4.00984251968504,24.69317623956798
Patties,Frozen,9.7,6.665748031496062,45.520051975665936
Pauls,Dairy & Eggs,3.5,4.79140625,-26.952551769117882
Pauls,Drinks,3.0,7.194803149606299,-58.30323724473045
Pauls,Pantry,3.0,2.83953488372093,5.651105651105652
Peckish,Snacks,2.0,4.00984251968504,-50.12272950417282
Peppercorn,Meat & Seafood,10.0,15.261705426356588,-34.47652329384993
Pepsi,Drinks,18.6675,7.194803149606299,159.45810624466478
Perfect Italiano,Dairy & Eggs,7.5,4.79140625,56.53024620903311
Peters,Frozen,9.335714285714285,6.665748031496062,40.05501320485669
Powerade,Drinks,2.25,7.194803149606299,-68.72742793354783
Praise,Pantry,3.5,2.83953488372093,23.25962325962326
Pringles,Snacks,4.525,4.00984251968504,12.847324496809028
PureHarvest,Dairy & Eggs,2.6,4.79140625,-45.73618131420185
PureHarvest,Drinks,2.6,7.194803149606299,-63.86280561209973
PureHarvest,Pantry,2.6,2.83953488372093,-8.435708435708431
Pureau,Drinks,9.6,7.194803149606299,33.42964081686256
Pureharvest,Health & Wellness,4.3,7.783969465648855,-44.75826223399039
Quilton,Household,6.204545454545454,6.624045801526718,-6.33299284984679
Radiant,Household,22.0,6.624045801526718,232.12330740420626
Raw C,Drinks,5.5,7.194803149606299,-23.555934948672487
Real Foods,Snacks,1.65,4.00984251968504,-58.85125184094257
Red,Fruit & Veg,1.98,3.7485365853658537,-47.17938707788406
Red Bull,Drinks,12.84,7.194803149606299,78.46214459255368
Red Rock Deli,Snacks,6.58,4.00984251968504,64.09621993127146
Refresh,Household,2.4,6.624045801526718,-63.76836646499567
Ritz,Snacks,3.0,4.00984251968504,-25.184094256259215
Rokeby,Dairy & Eggs,4.0875,4.79140625,-14.691015816076947
Sakata,Snacks,3.1666666666666665,4.00984251968504,-21.027655048273616
San Remo,Health & Wellness,4.5,7.783969465648855,-42.18887908208297
San Remo,Pantry,2.95,2.83953488372093,3.8902538902538977
Sanitarium,Dairy & Eggs,2.8000000000000003,4.79140625,-41.562041415294296
