category,avg_specials_per_year,avg_weeks_between
Bakery,8.8,6.0
Dairy & Eggs,9.8,6.0
Drinks,10.9,4.7
Frozen,8.6,6.0
Fruit & Veg,10.8,4.8
Health & Wellness,6.9,7.3
Household,6.3,7.8
Meat & Seafood,9.8,5.3
Pantry,7.8,6.6
Snacks,11.2,4.7
